"index","Title","Summary","Enrollment","Stars","Rating","Link"
0,Cinematography Course: Shoot Expert Video on Any Camera,Your Online Guide to Professional Cinematography. Learn to Shoot Stunning Video Like a Professional With Any Camera.,7983,4.5,2335,https://www.udemy.com/course/cinematographycourse/
1,Adobe Premiere Pro CC 2020: Video Editing for Beginners,Learn how to edit amazing videos in Adobe Premiere Pro CC 2020 with zero experience.,203666,4.5,2320,https://www.udemy.com/course/premiere-pro-with-brad-newton/
2,The Complete Final Cut Pro X Course Beginner To Intermediate,In this complete course students will learn how to edit their videos using Final Cut Pro X from beginner to intermediate,17236,4.4,2111,https://www.udemy.com/course/finalcutproxcourse/
3,Photography - Become a Better Photographer - Part I,"See results today! 50 photography tips for taking amazing photos with your DSLR, Mirrorless or compact camera.",14264,4.7,1663,https://www.udemy.com/course/great-photography-tips-photo-tutorials/
4,GIMP 2.10 Masterclass: From Beginner to Pro Photo Editing,GIMP 2.10 Complete Guide - Learn the Free Photo Editor GIMP. Go From a Beginner to Pro in Photo Editing & Graphic Design,6314,4.6,1598,https://www.udemy.com/course/gimp-photo-editing/
5,Wedding Photography: Complete Guide to Wedding Photography,"Learn exactly how to become a wedding photographer, start a photo business of your own, and shoot better wedding photos.",74287,4.6,1587,https://www.udemy.com/course/wedding-photography-course/
6,Night Photography: You Can Shoot Stunning Night Photos,You will shoot amazing night photos that impress your family and friends with this complete night photography course!,93955,4.4,1586,https://www.udemy.com/course/night-photography/
7,VIDEO CINEMATOGRAPHY techniques loved by pro filmmakers,Creative video. Learn what pro broadcast camera ops do to grab and excite an audience. Taught by a pro broadcaster,7843,4.5,1564,https://www.udemy.com/course/motivate-inspire-and-empower-your-video-audience/
8,Learn Landscape Photography,Get inspired | Learn more | Go places,31947,3.8,1553,https://www.udemy.com/course/learn-landscapes/
9,Complete Photography : 21 Courses in 1 [Beginner to Expert],"Learn Portrait Photography, Landscape Photography, Stock Photography, Photography Composition, Black and White, and more",69461,4.3,1462,https://www.udemy.com/course/interactive-photography-basics/
10,Adobe Lightroom CC + Classic // Learn Photo Editing by Pro,Lightroom - Learn all my Lightroom CC Classic secrets & photo editing techniques. Get organized & make your images pop!,12372,4.5,1443,https://www.udemy.com/course/master-adobe-lightroom-6-in-1-day/
11,Long Exposure Photography: Shoot Your Own Stunning Photos,A quick start long exposure tutorial that will get you shooting beautiful photographs with your DSLR and iPhone cameras.,20797,4.8,1403,https://www.udemy.com/course/long-exposure-photography-tutorial/
12,Color Grading with Da Vinci Resolve: Beginner to Advanced,Learn to grade like a professional with hands-on projects and guidance!,7739,4.4,1327,https://www.udemy.com/course/color-grading-with-da-vinci-resolve-beginner-to-advanced/
13,Street Photography: How I approach people on the streets...,"Learn how to get over your fear, how to approach people and how to improve the creativity and quality of your photos.",31866,4.3,1320,https://www.udemy.com/course/streetphotography/
14,Photography Composition & Portrait Photography Masterclass,Studio Photography Lighting / Street Photography / Creative Photography / DSLR Photography / Black & White Photography,11280,4.6,1265,https://www.udemy.com/course/creative-photography-composition-masterclass/
15,Phantom & Mavic Filmschool 1- master autopilot with Litchi,Use autopilot to get amazing cinematic shots with your drone. You will master the Litchi app & take pro footage!,4316,4.6,1252,https://www.udemy.com/course/phantom-filmschool/
